accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.082,0.242,0.18099719501921338,5,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2668,0.1906500747863059,20,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2676,0.19420243977164448,50,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.172,0.13065157056783003,1,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.2372,0.17889769583649473,5,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0876,0.2656,0.1934205741716073,20,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.28,0.1979092699610702,50,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.062,0.184,0.14676349381843368,1,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2512,0.1824805682363736,5,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0856,0.26,0.19275491036120548,20,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2708,0.19806587904839837,50,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0544,0.1956,0.14541594125450333,1,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0632,0.23,0.16222778297111728,5,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0816,0.264,0.19069439415194883,20,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.264,0.18990435404669523,50,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.16,0.1315267122020746,1,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.08,0.228,0.17669997870116128,5,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.264,0.19859473549489193,20,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2812,0.20531510808862163,50,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0356,0.1508,0.1177274938764445,1,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2352,0.17200596133484863,5,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0824,0.2568,0.18974971430173967,20,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0924,0.2804,0.2030138204226784,50,2,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1716,0.1316095377590476,1,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0684,0.2208,0.1693202929616752,5,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0864,0.2516,0.19093030833310246,20,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2624,0.1984714092849404,50,3,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.042,0.1528,0.12399686969372967,1,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.232,0.17116118303855815,5,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.2656,0.18281294878945084,20,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2596,0.19143084146601275,50,4,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0384,0.1668,0.1253824237783303,1,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0648,0.2264,0.1666112240157662,5,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0908,0.262,0.1932519624952357,20,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2696,0.19623074271486818,50,5,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1756,0.13635966904356964,1,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2176,0.16965727935315608,5,6,layer4.0.relu,ResNet18,None,Untrained,PyTorch
